"GAME_ID","DATE","IS_REGULAR_SEASON","TEAM_ID","TEAM_ABBREVIATION","AT_HOME","OPPONENT_TEAM_ID","OPPONENT_TEAM_ABBREVIATION","SEASON"
"0021600008","2016-10-26","1","1610612749","MIL","1","1610612766","CHA","2016-17"
"0021600031","2016-10-29","1","1610612749","MIL","1","1610612751","BKN","2016-17"
"0021600038","2016-10-30","1","1610612749","MIL","0","1610612765","DET","2016-17"
"0021600051","2016-11-01","1","1610612749","MIL","0","1610612740","NOP","2016-17"
"0021600066","2016-11-03","1","1610612749","MIL","1","1610612754","IND","2016-17"
"0021600085","2016-11-05","1","1610612749","MIL","1","1610612758","SAC","2016-17"
"0021600090","2016-11-06","1","1610612749","MIL","0","1610612742","DAL","2016-17"
"0021600117","2016-11-10","1","1610612749","MIL","1","1610612740","NOP","2016-17"
"0021600137","2016-11-12","1","1610612749","MIL","1","1610612763","MEM","2016-17"
"0021600163","2016-11-16","1","1610612749","MIL","0","1610612737","ATL","2016-17"
"0021600170","2016-11-17","1","1610612749","MIL","0","1610612748","MIA","2016-17"
"0021600191","2016-11-19","1","1610612749","MIL","1","1610612744","GSW","2016-17"
"0021600204","2016-11-21","1","1610612749","MIL","1","1610612753","ORL","2016-17"
"0021600232","2016-11-25","1","1610612749","MIL","1","1610612761","TOR","2016-17"
"0021600248","2016-11-27","1","1610612749","MIL","0","1610612753","ORL","2016-17"
"0021600262","2016-11-29","1","1610612749","MIL","1","1610612739","CLE","2016-17"
"0021600277","2016-12-01","1","1610612749","MIL","0","1610612751","BKN","2016-17"
"0021600291","2016-12-03","1","1610612749","MIL","1","1610612751","BKN","2016-17"
"0021600309","2016-12-05","1","1610612749","MIL","1","1610612759","SAS","2016-17"
"0021600325","2016-12-07","1","1610612749","MIL","1","1610612757","POR","2016-17"
"0021600340","2016-12-09","1","1610612749","MIL","1","1610612737","ATL","2016-17"
"0021600346","2016-12-10","1","1610612749","MIL","0","1610612764","WAS","2016-17"
"0021600362","2016-12-12","1","1610612749","MIL","0","1610612761","TOR","2016-17"
"0021600384","2016-12-15","1","1610612749","MIL","1","1610612741","CHI","2016-17"
"0021600393","2016-12-16","1","1610612749","MIL","0","1610612741","CHI","2016-17"
