"second","TerrenceJones","RashadVaughn","MalcolmBrogdon","SpencerHawes","TonySnell","GiannisAntetokounmpo","KhrisMiddleton","MirzaTeletovic","JasonTerry","MatthewDellavedova","GregMonroe","ThonMaker","JohnHenson","AxelToupane","MichaelBeasley","JabariParker","MilesPlumlee","SteveNovak"
2264,0,12,54,1,7,36,13,38,57,19,50,2,13,0,33,19,1,0
2265,0,12,54,1,7,36,13,38,57,19,50,2,13,0,33,19,1,0
2266,0,12,54,1,7,36,13,38,57,19,50,2,13,0,33,19,1,0
2267,0,12,54,1,7,36,13,38,57,19,50,2,13,0,33,19,1,0
2268,0,12,54,1,6,37,13,38,57,19,50,2,13,0,33,19,1,0
2269,0,12,54,1,6,37,13,38,57,19,50,2,13,0,33,19,1,0
2270,0,12,54,1,6,37,13,38,57,19,50,2,13,0,33,19,1,0
2271,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2272,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2273,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2274,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2275,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2276,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2277,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2278,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2279,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2280,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2281,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2282,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2283,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2284,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2285,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2286,0,12,54,1,6,36,13,38,57,19,50,2,13,0,33,20,1,0
2287,0,12,54,1,6,36,12,38,57,20,50,2,13,0,33,20,1,0
2288,0,12,54,1,6,36,12,38,57,20,50,2,13,0,33,20,1,0
2289,0,12,54,1,6,36,12,38,57,20,50,2,13,0,33,20,1,0
2290,0,12,54,1,6,36,12,38,57,20,50,2,13,0,33,20,1,0
2291,0,12,54,1,6,36,12,38,56,21,50,2,13,0,33,20,1,0
2292,0,12,54,1,6,36,12,38,56,21,50,2,13,0,33,20,1,0
2293,0,12,54,1,6,36,12,38,56,21,50,2,13,0,33,20,1,0
2294,0,12,54,1,6,36,12,38,56,21,50,2,13,0,33,20,1,0
2295,0,12,54,1,6,36,12,38,56,21,50,2,13,0,33,20,1,0
2296,0,12,54,1,6,36,12,38,56,21,50,2,13,0,33,20,1,0
2297,0,12,54,1,6,36,12,38,56,21,50,2,13,0,33,20,1,0
2298,0,12,54,1,6,37,12,38,56,21,50,2,13,0,32,20,1,0
