"second","TerrenceJones","RashadVaughn","MalcolmBrogdon","SpencerHawes","TonySnell","GiannisAntetokounmpo","KhrisMiddleton","MirzaTeletovic","JasonTerry","MatthewDellavedova","GregMonroe","ThonMaker","JohnHenson","AxelToupane","MichaelBeasley","JabariParker","MilesPlumlee","SteveNovak"
0,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
1,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
2,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
3,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
4,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
5,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
6,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
7,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
8,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
9,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
10,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
11,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
12,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
13,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
14,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
15,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
16,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
17,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
18,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
19,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
20,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
21,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
22,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
23,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
24,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
25,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
26,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
27,0,1,22,0,70,70,13,2,0,49,0,23,38,0,5,50,12,0
